step,software,version,parameter,status,note
quality and adapter trimming,Trim Galore!,0.4.5,Q > 15,agrees,"submitted FASTQs are all exactly 101 bp, so trimming is downstream of what was deposited, as it should be"
quality and adapter trimming,cutadapt,1.15,,agrees,invoked by Trim Galore!
read QC,FastQC,0.11.5,,agrees,invoked by Trim Galore!
alignment,bowtie2,2.3.4.1,human assembly hg38,agrees,"chr1 is 248,956,422 and contigs are UCSC-named, so hg38 confirmed. Which hg38 FASTA is still open: the files carry the 194-contig no-alt set, not all 455 UCSC sequences"
duplicate removal,Picard MarkDuplicates,2.16.0,,agrees,matches RmDup in every filename and filtered: true
peak calling,MACS2,2.1.2,"p 0.001, blacklist filtered",NOT SUBMITTED,"no peak files are in any of the four analysis sets. Blacklist is applied to peaks only, which agrees with the bigWigs covering 100% of the genome with nothing zeroed"
signal generation,BEDTools,2.29.2,normalized to 10 million mapped reads,"agrees, underspecified","target confirmed. Two gaps: the 25 bp bin size is not stated, and bedtools cannot write bigWig, so a bedGraphToBigWig step is missing. makewindows + coverage explains the grid and the ragged terminal bins; genomecov alone cannot, since it is base-pair resolution"
replicate averaging,deepTools bigwigAverage,3.5.4,averaged across replicates,NOT SUBMITTED,"the eight submitted files are per-replicate, so the averaged tracks are four further files that exist and are not on the portal"
signal generation,bedGraphToBigWig (UCSC),,,MISSING,"bedtools cannot write bigWig, so something converted the bedGraph"
alignment post-processing,samtools,,,MISSING,sorted in every filename; no version given
open parameter,hg38 reference FASTA,,"194 UCSC-named contigs, no alts, 3,099,750,718 bp",ASK,hg38 is confirmed; which FASTA is not. IGVFFI0653VCGH matches to one decoy contig
open parameter,bin size,,"25 bp, measured exactly",ASK,confirm and record; it is a real parameter of the submitted files
open parameter,MAPQ filter,,not stated,ASK,the one open item that changes a submitted field: read-depth signal vs signal of unique reads
open parameter,what the 10 million counted,,mean requires entities spanning ~445-515 bp,ASK,"individual 101 bp reads would put the genome-wide mean near 0.41, not the 1.52-1.74 observed. Only fragments, or reads extended to fragment length, fit"
